-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|HOST|PORT |SERVICE|SCHEMA_NAME|TABLE_NAME|COLUMN_NAME                                                        |NUM_COLS|NUM_DISTINCT|LENGTH|COMPRESSION|INDEX_TYPE|DATA_TYPE       |ATTRIBUTE_TYPE   |LOADED|PAGEABLE|USED_FOR                                    |MEM_TOTAL_MB|MEM_INDEX_MB|MEM_PERS_MB|SCANNED_RECORDS|INDEX_LOOKUPS|LAST_LOAD_TIME     |
|any |30103|any    |SAPS4D     |EKKO      |ANGDT                                                              |       1|           2|     8|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |ANGNR                                                              |       1|           2|    10|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |APCGK_EXTEND                                                       |       1|           2|    10|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |AUREL_ALLOW                                                        |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |AUSNR                                                              |       1|           2|    10|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |AUTLF                                                              |       1|           3|     1|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |BEDAT                                                              |       1|        1183|     8|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.24|         0.0|          0|        2656465|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |BNDDT                                                              |       1|           2|     8|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |BSAKZ                                                              |       1|           3|     1|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.03|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |BSART                                                              |       1|          12|     4|INDIRECT   |BLOCK     |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.08|         0.0|          0|      114891543|          646|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |BSTYP                                                              |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |BUDG_TYPE                                                          |       1|           2|     2|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |BUKRS                                                              |       1|          13|     4|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.04|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |BWBDT                                                              |       1|           2|     8|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |CHECK_TYPE                                                         |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |CONTRACT_ALLOW                                                     |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |CON_DISTR_LEV                                                      |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |CON_OTB_REQ                                                        |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |CON_PREBOOK_LEV                                                    |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |DELPER_ALLOW                                                       |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |DESCRIPTION                                                        |       1|           2|    40|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |DPAMT                                                              |       1|           2|    11|PREFIXED   |NONE      |DECIMAL(FIXED)  |                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |DPDAT                                                              |       1|           2|     8|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |DPPCT                                                              |       1|           2|     5|PREFIXED   |NONE      |DECIMAL(FIXED)  |                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |DPTYP                                                              |       1|           2|     4|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |DUMMY_EKKO_INCL_EEW_PS                                             |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |EBELN                                                              |       1|      166088|    10|DEFAULT    |FULL      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        1.05|        0.36|          0|       65723569|        17159|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |EINDT_ALLOW                                                        |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |EKGRP                                                              |       1|         184|     3|INDIRECT   |BLOCK     |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.11|         0.0|          0|        2049704|            2|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |EKGRP_ALLOW                                                        |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |EKORG                                                              |       1|          13|     4|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.04|         0.0|          0|        3039830|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |EQ_EINDT                                                           |       1|           2|     8|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |EQ_WERKS                                                           |       1|           2|     4|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |ERNAM                                                              |       1|         179|    12|INDIRECT   |FULL      |NVARCHAR(STRING)|                 |     1|NO      |Index EKKO~HQ3                              |        0.28|        0.15|          0|              0|            7|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |EXNUM                                                              |       1|           2|    10|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |FIXPO                                                              |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
