--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SNAPSHOT_TIME      |SAMPLES|PCT  |HOST    |PORT |NM|STATEMENT_HASH                  |THREAD_TYPE|THREAD_STATE            |LOCK_NAME                     |THREAD_METHOD             |THREAD_DETAIL                                                                                                                                                                                                                                                  |DB_USER|APP_NAME |APP_USER    |APP_SOURCE                           |LOCKS_OWNED|CLIENT_IP     |ROOT_STATEMENT_HASH             |
|2021/08/31 07:45:00|      1| 1.28|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|SqlExecutor|Job Exec Waiting        |CSPlanExecutorWaitForResult   |ExecutePrepared           |SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUMENT" , "MATERIALDOCUMENTYEAR" , "MATERIALDOCUMENTITEM" , "PURCHASINGDOCUMENT" , "INVENTORYTRANSACTIONTYPE" , "VERSIONFORPRINTINGSLIP" , "CREATIONUSERNAME" , "QUANTITYDEBITCREDITCODE" , "GOODSRECEIPTISMOVEDT|SAPS4D |ABAP:S4P |HVALENTIN   |CL_FDT_PERSISTENCE============CP:7161|           |10.240.129.50 |7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:45:00|      1| 1.28|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|SqlExecutor|Job Exec Waiting        |CSPlanExecutorWaitForResult   |ExecutePrepared           |SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUMENT" , "MATERIALDOCUMENTYEAR" , "MATERIALDOCUMENTITEM" , "PURCHASINGDOCUMENT" , "INVENTORYTRANSACTIONTYPE" , "VERSIONFORPRINTINGSLIP" , "CREATIONUSERNAME" , "QUANTITYDEBITCREDITCODE" , "GOODSRECEIPTISMOVEDT|SAPS4D |ABAP:S4P |RWARRILLOW  |CL_APOC_OUTPUT_TYPE_CONFIG====CP:314 |           |10.240.129.61 |7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:45:00|      1| 1.28|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|JobWorker  |Running                 |?                             |WorkerJob                 |worker H4P::SAPS4D:MATDOCen (6%)                                                                                                                                                                                                                               |SAPS4D |ABAP:S4P |1300-WRAP2W |CL_FDT_PERSISTENCE============CP:7161|           |10.240.129.62 |7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:45:00|      1| 1.28|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|JobWorker  |Job Exec Waiting        |JobBarrier Wait for Jobs      |PlanExecutor calc         |plan3249716@s4hd1prd:30103/pop1 (BwPopAggregateParallel)                                                                                                                                                                                                       |SAPS4D |ABAP:S4P |1300-WRAP2W |CL_FDT_PERSISTENCE============CP:7161|           |10.240.129.62 |7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:45:00|      1| 1.28|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|JobWorker  |Running                 |?                             |InvIndexJob               |Create Inverted Index (50%)                                                                                                                                                                                                                                    |SAPS4D |ABAP:S4P |RWARRILLOW  |CL_APOC_OUTPUT_TYPE_CONFIG====CP:314 |           |10.240.129.61 |7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:45:00|      1| 1.28|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|JobWorker  |Job Exec Waiting        |JobBarrier Wait for Jobs      |PlanExecutor calc         |plan3205956@s4hd1prd:30103/pop3 (BwPopJoin13)                                                                                                                                                                                                                  |SAPS4D |ABAP:S4P |1100-WRAP1  |CL_FDT_PERSISTENCE============CP:7161|           |10.240.129.146|7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:45:00|      1| 1.28|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|SqlExecutor|Job Exec Waiting        |CSPlanExecutorWaitForResult   |ExecutePrepared           |SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUMENT" , "MATERIALDOCUMENTYEAR" , "MATERIALDOCUMENTITEM" , "PURCHASINGDOCUMENT" , "INVENTORYTRANSACTIONTYPE" , "VERSIONFORPRINTINGSLIP" , "CREATIONUSERNAME" , "QUANTITYDEBITCREDITCODE" , "GOODSRECEIPTISMOVEDT|SAPS4D |ABAP:S4P |1300-WRAP2W |CL_FDT_PERSISTENCE============CP:6040|           |10.240.129.146|7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:45:00|      1| 1.28|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|SqlExecutor|Job Exec Waiting        |CSPlanExecutorWaitForResult   |ExecutePrepared           |SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUMENT" , "MATERIALDOCUMENTYEAR" , "MATERIALDOCUMENTITEM" , "PURCHASINGDOCUMENT" , "INVENTORYTRANSACTIONTYPE" , "VERSIONFORPRINTINGSLIP" , "CREATIONUSERNAME" , "QUANTITYDEBITCREDITCODE" , "GOODSRECEIPTISMOVEDT|SAPS4D |ABAP:S4P |1300-WRAP2W |CL_FDT_PERSISTENCE============CP:7161|           |10.240.129.62 |7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:45:00|      1| 1.28|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|JobWorker  |Running                 |?                             |WorkerJob                 |worker H4P::SAPS4D:MATDOCen (merging)                                                                                                                                                                                                                          |SAPS4D |ABAP:S4P |1300-WRAP2W |CL_FDT_PERSISTENCE============CP:6040|           |10.240.129.146|7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:45:00|      1| 1.28|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|JobWorker  |Job Exec Waiting        |JobBarrier Wait for Jobs      |PlanExecutor calc         |plan3249772@s4hd1prd:30103/pop1 (JEStep2)                                                                                                                                                                                                                      |SAPS4D |ABAP:S4P |RWARRILLOW  |CL_APOC_OUTPUT_TYPE_CONFIG====CP:314 |           |10.240.129.61 |7e7a8751eb44e4b10d1380c2d2b22216|
