---------------------------------------------------------------------------------
|PARAMETERS                 |NUM|LAST_TIME          |SOURCE                     |
|'400', '490613684220210001'|  6|2021/08/30 23:49:22|M_EXPENSIVE_STATEMENTS     |
|'400', '500107209120210001'|  6|2021/08/30 23:49:15|M_EXPENSIVE_STATEMENTS     |
|'400', '490613684020210001'|  6|2021/08/30 23:49:00|M_EXPENSIVE_STATEMENTS     |
|'400', '500107211720210001'|  6|2021/08/30 23:48:23|M_EXPENSIVE_STATEMENTS     |
|'400', '490613683720210001'|  6|2021/08/30 23:48:17|M_EXPENSIVE_STATEMENTS     |
|'400', '500107211620210001'|  6|2021/08/30 23:47:54|M_EXPENSIVE_STATEMENTS     |
|'400', '490613696120210001'|  6|2021/08/31 00:21:23|M_EXPENSIVE_STATEMENTS     |
|'400', '500107214620210001'|  6|2021/08/31 00:19:46|M_EXPENSIVE_STATEMENTS     |
|'400', '500107217120210001'|  6|2021/08/31 00:19:29|M_EXPENSIVE_STATEMENTS     |
|'400', '500107214520210001'|  6|2021/08/31 00:19:26|M_EXPENSIVE_STATEMENTS     |
|'400', '500107218020210001'|  6|2021/08/31 00:19:00|M_EXPENSIVE_STATEMENTS     |
|'400', '500107217020210001'|  6|2021/08/31 00:18:41|M_EXPENSIVE_STATEMENTS     |
|'400', '490613691720210001'|  6|2021/08/31 00:18:33|M_EXPENSIVE_STATEMENTS     |
|'400', '500107215920210001'|  6|2021/08/31 00:18:13|M_EXPENSIVE_STATEMENTS     |
|'400', '500107216420210001'|  6|2021/08/31 00:18:10|M_EXPENSIVE_STATEMENTS     |
|'400', '490613691620210001'|  6|2021/08/31 00:18:02|M_EXPENSIVE_STATEMENTS     |
|'400', '500107215820210001'|  6|2021/08/31 00:18:00|M_EXPENSIVE_STATEMENTS     |
|'400', '500107212320210001'|  6|2021/08/31 00:15:41|M_EXPENSIVE_STATEMENTS     |
|'400', '500107213720210001'|  6|2021/08/31 00:15:32|M_EXPENSIVE_STATEMENTS     |
|'400', '500107214420210001'|  6|2021/08/31 00:14:45|M_EXPENSIVE_STATEMENTS     |
|'400', '500107216320210001'|  6|2021/08/31 00:14:37|M_EXPENSIVE_STATEMENTS     |
|'400', '500107216220210001'|  6|2021/08/31 00:14:06|M_EXPENSIVE_STATEMENTS     |
|'400', '500107216120210001'|  6|2021/08/31 00:13:39|M_EXPENSIVE_STATEMENTS     |
|'400', '500107216020210001'|  6|2021/08/31 00:09:34|M_EXPENSIVE_STATEMENTS     |
|'400', '500107215720210001'|  6|2021/08/31 00:09:04|M_EXPENSIVE_STATEMENTS     |
|'400', '500107215620210001'|  6|2021/08/31 00:08:41|M_EXPENSIVE_STATEMENTS     |
|'400', '500107214320210001'|  6|2021/08/31 00:06:30|M_EXPENSIVE_STATEMENTS     |
|'400', '500107213620210001'|  6|2021/08/31 00:05:08|M_EXPENSIVE_STATEMENTS     |
|'400', '500107214220210001'|  6|2021/08/31 00:03:46|M_EXPENSIVE_STATEMENTS     |
|'400', '500107222820210001'|  6|2021/08/31 01:42:30|M_EXPENSIVE_STATEMENTS     |
|'400', '500107223820210001'|  6|2021/08/31 01:42:19|M_EXPENSIVE_STATEMENTS     |
|'400', '500107212720210001'|  6|2021/08/31 01:42:14|M_EXPENSIVE_STATEMENTS     |
|'400', '500107223720210001'|  6|2021/08/31 01:41:44|M_EXPENSIVE_STATEMENTS     |
|'400', '500107223620210001'|  6|2021/08/31 01:40:20|M_EXPENSIVE_STATEMENTS     |
|'400', '500107219820210001'|  6|2021/08/31 01:39:56|M_EXPENSIVE_STATEMENTS     |
|'400', '500107219720210001'|  6|2021/08/31 01:39:54|M_EXPENSIVE_STATEMENTS     |
|'400', '500107222720210001'|  6|2021/08/31 01:36:08|M_EXPENSIVE_STATEMENTS     |
|'400', '500107219620210001'|  6|2021/08/31 01:35:21|M_EXPENSIVE_STATEMENTS     |
|'400', '500107222620210001'|  6|2021/08/31 01:35:19|M_EXPENSIVE_STATEMENTS     |
|'400', '500107219520210001'|  6|2021/08/31 01:35:02|M_EXPENSIVE_STATEMENTS     |
|'400', '500107219420210001'|  6|2021/08/31 01:31:58|M_EXPENSIVE_STATEMENTS     |
|'400', '500107225320210001'|  6|2021/08/31 01:31:31|M_EXPENSIVE_STATEMENTS     |
|'400', '500107225220210001'|  6|2021/08/31 01:30:30|M_EXPENSIVE_STATEMENTS     |
|'400', '500107219320210001'|  6|2021/08/31 01:30:20|M_EXPENSIVE_STATEMENTS     |
|'400', '500107225120210001'|  6|2021/08/31 01:30:09|M_EXPENSIVE_STATEMENTS     |
|'400', '500107225020210001'|  6|2021/08/31 01:30:07|M_EXPENSIVE_STATEMENTS     |
|'400', '490613729020210001'|  6|2021/08/31 01:30:04|M_EXPENSIVE_STATEMENTS     |
|'400', '500107224920210001'|  6|2021/08/31 01:29:48|M_EXPENSIVE_STATEMENTS     |
