SNAPSHOT_TIME;SAMPLES;PCT;HOST;PORT;NM;STATEMENT_HASH;THREAD_TYPE;THREAD_STATE;LOCK_NAME;THREAD_METHOD;THREAD_DETAIL;DB_USER;APP_NAME;APP_USER;APP_SOURCE;LOCKS_OWNED;CLIENT_IP;ROOT_STATEMENT_HASH
2021/08/31 07:50:00;     16; 23.18;s4hd1prd;30103;an;7e7a8751eb44e4b10d1380c2d2b22216;JobWorker;Running;?;WorkerJob;any;SAPS4D;ABAP:S4P;DHOMER;CL_FDT_PERSISTENCE============CP:7161;;10.240.129.50;7e7a8751eb44e4b10d1380c2d2b22216
2021/08/31 07:50:00;     16; 23.18;s4hd1prd;30103;an;7e7a8751eb44e4b10d1380c2d2b22216;JobWorker;Running;?;InvIndexJob;any;SAPS4D;ABAP:S4P;RWARRILLOW;CL_APOC_OUTPUT_TYPE_CONFIG====CP:314;;10.240.129.61;7e7a8751eb44e4b10d1380c2d2b22216
2021/08/31 07:50:00;     15; 21.73;s4hd1prd;30103;an;7e7a8751eb44e4b10d1380c2d2b22216;JobWorker;Running;?;PredicateEvaluatorJob;any;SAPS4D;ABAP:S4P;1300-WRAP2W;CL_FDT_PERSISTENCE============CP:7161;;10.240.129.62;7e7a8751eb44e4b10d1380c2d2b22216
2021/08/31 07:50:00;      2;  2.89;s4hd1prd;30103;an;7e7a8751eb44e4b10d1380c2d2b22216;JobWorker;Job Exec Waiting;CSPlanExecutorWaitForResult;PlanExecutor calc;any;SAPS4D;ABAP:S4P;HVALENTIN;CL_FDT_PERSISTENCE============CP:7161;;10.240.129.50;7e7a8751eb44e4b10d1380c2d2b22216
2021/08/31 07:50:00;      2;  2.89;s4hd1prd;30103;an;7e7a8751eb44e4b10d1380c2d2b22216;JobWorker;Running;?;PlanExecutor calc;any;SAPS4D;ABAP:S4P;HVALENTIN;CL_FDT_PERSISTENCE============CP:7161;;10.240.129.50;7e7a8751eb44e4b10d1380c2d2b22216
2021/08/31 07:50:00;      2;  2.89;s4hd1prd;30103;an;7e7a8751eb44e4b10d1380c2d2b22216;JobWorker;Job Exec Waiting;CSPlanExecutorWaitForResult;PlanExecutor calc;any;SAPS4D;ABAP:S4P;DHOMER;CL_FDT_PERSISTENCE============CP:7161;;10.240.129.50;7e7a8751eb44e4b10d1380c2d2b22216
2021/08/31 07:50:00;      2;  2.89;s4hd1prd;30103;an;7e7a8751eb44e4b10d1380c2d2b22216;JobWorker;Job Exec Waiting;JobBarrier Wait for Jobs;PlanExecutor calc;any;SAPS4D;ABAP:S4P;1300-WRAP2W;CL_FDT_PERSISTENCE============CP:7161;;10.240.129.62;7e7a8751eb44e4b10d1380c2d2b22216
2021/08/31 07:50:00;      2;  2.89;s4hd1prd;30103;an;7e7a8751eb44e4b10d1380c2d2b22216;JobWorker;Job Exec Waiting;CSPlanExecutorWaitForResult;PlanExecutor calc;any;SAPS4D;ABAP:S4P;1300-WRAP2W;CL_FDT_PERSISTENCE============CP:7161;;10.240.129.62;7e7a8751eb44e4b10d1380c2d2b22216
2021/08/31 07:50:00;      1;  1.44;s4hd1prd;30103;an;7e7a8751eb44e4b10d1380c2d2b22216;SqlExecutor;Job Exec Waiting;CSPlanExecutorWaitForResult;ExecutePrepared;any;SAPS4D;ABAP:S4P;DHOMER;CL_FDT_PERSISTENCE============CP:7161;;10.240.129.50;7e7a8751eb44e4b10d1380c2d2b22216
2021/08/31 07:50:00;      1;  1.44;s4hd1prd;30103;an;7e7a8751eb44e4b10d1380c2d2b22216;JobWorker;Job Exec Waiting;JobBarrier Wait for Jobs;PlanExecutor calc;any;SAPS4D;ABAP:S4P;DHOMER;CL_FDT_PERSISTENCE============CP:7161;;10.240.129.50;7e7a8751eb44e4b10d1380c2d2b22216
2021/08/31 07:50:00;      1;  1.44;s4hd1prd;30103;an;7e7a8751eb44e4b10d1380c2d2b22216;SqlExecutor;Job Exec Waiting;CSPlanExecutorWaitForResult;ExecutePrepared;any;SAPS4D;ABAP:S4P;HVALENTIN;CL_FDT_PERSISTENCE============CP:7161;;10.240.129.50;7e7a8751eb44e4b10d1380c2d2b22216
2021/08/31 07:50:00;      1;  1.44;s4hd1prd;30103;an;7e7a8751eb44e4b10d1380c2d2b22216;JobWorker;Job Exec Waiting;JobBarrier Wait for Jobs;PlanExecutor calc;any;SAPS4D;ABAP:S4P;RWARRILLOW;CL_APOC_OUTPUT_TYPE_CONFIG====CP:314;;10.240.129.61;7e7a8751eb44e4b10d1380c2d2b22216
2021/08/31 07:50:00;      1;  1.44;s4hd1prd;30103;an;7e7a8751eb44e4b10d1380c2d2b22216;SqlExecutor;Job Exec Waiting;CSPlanExecutorWaitForResult;ExecutePrepared;any;SAPS4D;ABAP:S4P;1300-WRAP2W;CL_FDT_PERSISTENCE============CP:6040;;10.240.129.146;7e7a8751eb44e4b10d1380c2d2b22216
2021/08/31 07:50:00;      1;  1.44;s4hd1prd;30103;an;7e7a8751eb44e4b10d1380c2d2b22216;JobWorker;Running;?;WorkerJob;any;SAPS4D;ABAP:S4P;1300-WRAP2W;CL_FDT_PERSISTENCE============CP:7161;;10.240.129.62;7e7a8751eb44e4b10d1380c2d2b22216
