----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SNAPSHOT_TIME      |NUM|HOST|PORT |SCHEMA_NAME|LOCATION              |TABLES                                            |STATEMENT_HASH                  |PLAN_ID  |STORE |ENGINES|DB_USER|DIST |P  |I|PST|TP|RC|INV_REASON                             |EXECUTIONS|RECORDS|REC_PER_EXEC|ELAPSED_MS|ELA_PER_EXEC_MS|ELA_PER_REC_MS|EXEC_PER_EXEC_MS|PREPS|PREP_MS|LOCK_WAIT_MS|LOCK_PER_EXEC_MS|CURSOR_MS|CUR_PER_EXEC_MS|OPEN_MS|OPEN_PER_EXEC_MS|FETCH_MS|FETCH_PER_EXEC_MS|NETWORK_REQ|NW_REQ_PER_EXEC|NW_SIZE_GB|NW_PER_EXEC_MB|NETWORK_MS|NW_PER_EXEC_MS|MEMORY_GB|MEM_PER_EXEC_MB|THREADS|THR_PER_EXEC|APP_NAME|APP_SOURCE                           |STATEMENT_STRING                                  |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|2021/08/30 19:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|       303|    303|           1|    545125|        1799.09|       1799.09|         1799.09|    0|      0|           0|               0|   545526|        1800.41| 545043|         1798.82|      10|             0.03|          0|              0|         0|             0|         0|             0|   588.37|        1988.43| 190611|      629.07|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 18:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|       352|    352|           1|    708685|        2013.31|       2013.31|         2013.31|    0|      0|           0|               0|   708788|         2013.6| 708581|         2013.01|      12|             0.03|          0|              0|         0|             0|         0|             0|   677.79|        1971.77| 220123|      625.34|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 17:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 1|RECOMPILE TRIGGERED DUE TO PARAM VALUES|       635|    635|           1|   1212706|        1909.77|       1909.77|         1909.77|    0|      0|           0|               0|  1213093|        1910.38|1212525|         1909.48|      22|             0.03|          0|              0|         0|             0|         0|             0|   1215.1|        1959.47| 391559|      616.62|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 16:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|       668|    668|           1|   1734289|        2596.24|       2596.24|         2596.24|    0|      0|           0|               0|  1734872|        2597.11|1734087|         2595.93|      23|             0.03|          0|              0|         0|             0|         0|             0|  1229.18|        1884.26| 362545|      542.73|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 16:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|456940003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|        22|     22|           1|    145743|        6624.66|       6624.66|         6624.66|    0|      0|           0|               0|   145749|        6624.95| 145734|         6624.27|       1|             0.04|          0|              0|         0|             0|         0|             0|    82.35|         3833.2|  30926|     1405.72|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 15:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 1|RECOMPILE TRIGGERED DUE TO PARAM VALUES|       941|    941|           1|   2815652|        2992.19|       2992.19|         2992.19|    0|      0|           0|               0|  2816487|        2993.07|2815368|         2991.88|      33|             0.03|          0|              0|         0|             0|         0|             0|  1715.95|        1867.31| 433060|      460.21|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 15:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|456940003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|         5|      5|           1|     43698|         8739.5|        8739.5|          8739.5|    0|      0|           0|               0|    43699|        8739.76|  43696|         8739.12|       0|             0.03|          0|              0|         0|             0|         0|             0|    18.63|        3816.41|   6110|      1222.0|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 14:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 1|RECOMPILE TRIGGERED DUE TO PARAM VALUES|      1127|   1127|           1|   4120131|        3655.83|       3655.83|         3655.83|    0|      0|           0|               0|  4120922|        3656.54|4119792|         3655.53|      40|             0.03|          0|              0|         0|             0|         0|             0|  1972.55|        1792.27| 336429|      298.51|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 13:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 1|RECOMPILE TRIGGERED DUE TO PARAM VALUES|      1168|   1168|           1|   4656516|        3986.74|       3986.74|         3986.74|    0|      0|           0|               0|  4656850|        3987.02|4656150|         3986.43|      43|             0.03|          0|              0|         0|             0|         0|             0|  2060.51|        1806.47| 381720|      326.81|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 12:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 1|RECOMPILE TRIGGERED DUE TO PARAM VALUES|      1247|   1247|           1|   4547306|        3646.59|       3646.59|         3646.59|    0|      0|           0|               0|  4549539|        3648.38|4546924|         3646.29|      44|             0.03|          0|              0|         0|             0|         0|             0|  2184.87|        1794.15| 395009|      316.76|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
