--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SCHEMA_NAME|TABLE_NAME                                                 |HOST                                   |TABLE_TYPE|COLUMN_CNT|PART_CNT|PART_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |RECORDS    |INDEX_CNT|LOB_CNT|TRIGGER_CNT|MEM_TOTAL_GB|MEM_DELTA_GB|DISK_GB|CREATE_TIME        |LAST_MERGE_TIME    |READ_COUNT  |WRITE_COUNT |
|_SYS_BIC   |ZFPRTC/RTC_C_200RTCSC1_BPCACT_LCL_FA/proc/tabletype/VAR_OUT|sg11scbh1rrd0.hec.standardchartered.com|ROW       |        45|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |          0|        0|      0|          0|         0.0|         0.0|    0.0|2021/03/29 17:09:13|                   |            |            |
|_SYS_BIC   |ZFPRTC/RTC_C_200RTCSC1_BPCACT_LCL_FC/proc/tabletype/VAR_OUT|sg11scbh1rrd0.hec.standardchartered.com|ROW       |        45|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |          0|        0|      0|          0|         0.0|         0.0|    0.0|2021/03/29 17:09:14|                   |            |            |
|_SYS_BIC   |ZFPRTC/RTC_C_200RTCSC1_BPCUNION/proc/tabletype/VAR_OUT     |sg11scbh1rrd0.hec.standardchartered.com|ROW       |        45|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |          0|        0|      0|          0|         0.0|         0.0|    0.0|2021/03/29 17:09:15|                   |            |            |
|_SYS_BIC   |ZFPRTC/RTC_C_200RTCSC1_C/proc/tabletype/VAR_OUT            |sg11scbh1rrd0.hec.standardchartered.com|ROW       |        58|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |          0|        0|      0|          0|         0.0|         0.0|    0.0|2021/03/29 17:08:51|                   |            |            |
|_SYS_BIC   |ZFPRTC/RTC_C_200RTCSC1_ENTITY/proc/tabletype/VAR_OUT       |sg11scbh1rrd0.hec.standardchartered.com|ROW       |        16|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |          0|        0|      0|          0|         0.0|         0.0|    0.0|2021/03/29 17:08:34|                   |            |            |
|_SYS_BIC   |ZFPRTC/RTC_C_200RTCSC1_FSIM/proc/tabletype/VAR_OUT         |sg11scbh1rrd0.hec.standardchartered.com|ROW       |         5|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |          0|        0|      0|          0|         0.0|         0.0|    0.0|2021/03/29 17:08:37|                   |            |            |
|_SYS_BIC   |ZFPRTC/RTC_C_200RTCSC1_FYVM/proc/tabletype/VAR_OUT         |sg11scbh1rrd0.hec.standardchartered.com|ROW       |         7|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |          0|        0|      0|          0|         0.0|         0.0|    0.0|2021/03/29 17:08:41|                   |            |            |
|_SYS_BIC   |ZFPRTC/RTC_C_200RTCSC1_LRADRR/proc/tabletype/VAR_OUT       |sg11scbh1rrd0.hec.standardchartered.com|ROW       |         7|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |          0|        0|      0|          0|         0.0|         0.0|    0.0|2021/03/29 17:08:36|                   |            |            |
|_SYS_BIC   |ZFPRTC/ZFV_RTC_GRP_A/proc/tabletype/VAR_OUT                |sg11scbh1rrd0.hec.standardchartered.com|ROW       |        53|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |          0|        0|      0|          0|         0.0|         0.0|    0.0|2020/04/30 14:55:19|                   |            |            |
|_SYS_BIC   |ZFPRTC/ZFV_RTC_LCL_A/proc/tabletype/VAR_OUT                |sg11scbh1rrd0.hec.standardchartered.com|ROW       |        53|       1|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |          0|        0|      0|          0|         0.0|         0.0|    0.0|2020/04/30 14:55:20|                   |            |            |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
