-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SCHEMA_NAME|TABLE_NAME|INDEX_NAME                                                                             |CONSTRAINT|INDEX_TYPE           |COLUMN_NAME                                                      |SPAN|MEMORY_MB|NUM_DISTINCT|
|SAPS4D     |MARA      |CONCAT ATTRIBUTE<br>$esh:ca~id=458ad5bea9a1~ty=date27~a=mstde~t=mara~cv=longdate$      |          |INVERTED VALUE       |esh:ca~id=458ad5bea9a1~ty=date27~a=mstde~t=mara~cv=longdate      |   1|     0.11|            |
|SAPS4D     |MARA      |CONCAT ATTRIBUTE<br>$esh:ca~id=4d3bde4dc447~ty=alph10~a=mfrnr~t=mara~cv=alphanum$      |          |INVERTED VALUE       |esh:ca~id=4d3bde4dc447~ty=alph10~a=mfrnr~t=mara~cv=alphanum      |   1|     0.03|            |
|SAPS4D     |MARA      |CONCAT ATTRIBUTE<br>$esh:ca~id=87587ee1eef1~ty=date27~a=laeda~t=mara~cv=longdate$      |          |INVERTED VALUE       |esh:ca~id=87587ee1eef1~ty=date27~a=laeda~t=mara~cv=longdate      |   1|     0.09|            |
|SAPS4D     |MARA      |CONCAT ATTRIBUTE<br>$esh:ca~id=e52e064d5ad8~ty=date27~a=mstdv~t=mara~cv=longdate$      |          |INVERTED VALUE       |esh:ca~id=e52e064d5ad8~ty=date27~a=mstdv~t=mara~cv=longdate      |   1|     0.11|            |
|SAPS4D     |MARA      |implicit                                                                               |          |INVERTED VALUE       |DISST                                                            |   1|      0.0|          11|
|SAPS4D     |MARA      |implicit                                                                               |          |INVERTED VALUE       |EKWSL                                                            |   1|      0.0|           5|
|SAPS4D     |MARA      |implicit                                                                               |          |INVERTED VALUE       |MANDT                                                            |   1|      0.0|           1|
|SAPS4D     |MARA      |implicit                                                                               |          |INVERTED VALUE       |MATNR                                                            |   1|     0.24|       61835|
|SAPS4D     |MARA      |implicit                                                                               |          |INVERTED VALUE       |MSTDE                                                            |   1|      0.0|         285|
|SAPS4D     |MARA      |implicit                                                                               |          |INVERTED VALUE       |MSTDV                                                            |   1|      0.0|         284|
|SAPS4D     |MARA      |implicit                                                                               |          |INVERTED VALUE       |SPART                                                            |   1|      0.0|           2|
|SAPS4D     |MARC      |MARC~0                                                                                 |Primary   |INVERTED VALUE UNIQUE|MANDT                                                            |   3|     5.19|           2|
|SAPS4D     |MARC      |MARC~0                                                                                 |Primary   |INVERTED VALUE UNIQUE|MATNR                                                            |   0|      0.0|       46221|
|SAPS4D     |MARC      |MARC~0                                                                                 |Primary   |INVERTED VALUE UNIQUE|WERKS                                                            |   0|      0.0|          45|
|SAPS4D     |MARC      |MARC~HFV                                                                               |          |INVERTED VALUE       |VRBMT                                                            |   1|      0.0|           2|
|SAPS4D     |MARC      |MARC~HQ2                                                                               |          |INVERTED VALUE       |STDPD                                                            |   1|     0.13|          24|
|SAPS4D     |MARC      |MARC~HTR                                                                               |          |INVERTED VALUE       |NFMAT                                                            |   1|      0.0|           2|
|SAPS4D     |MARC      |CONCAT ATTRIBUTE<br>$esh:ca~id=fc2aefb0ca28~ty=date27~a=mmstd~t=marc~cv=longdate$      |          |INVERTED VALUE       |esh:ca~id=fc2aefb0ca28~ty=date27~a=mmstd~t=marc~cv=longdate      |   1|     0.92|            |
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |ABCIN                                                            |   1|      0.0|           5|
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |BSTMI                                                            |   1|     0.01|        1375|
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |BSTRF                                                            |   1|     0.01|         810|
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |CCFIX                                                            |   1|      0.0|           3|
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |DISLS                                                            |   1|      0.0|          12|
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |DISPO                                                            |   1|      0.0|         255|
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |EKGRP                                                            |   1|      0.0|         183|
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |HERKL                                                            |   1|      0.0|          31|
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |KAUTB                                                            |   1|      0.0|           3|
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |MANDT                                                            |   1|      0.0|           2|
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |MATNR                                                            |   1|     1.06|       46221|
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |MFRGR                                                            |   1|     0.01|         156|
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |PLIFZ                                                            |   1|      0.0|         127|
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |PRCTR                                                            |   1|      0.0|         246|
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |SCM_GRPRT                                                        |   1|      0.0|           5|
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |UEETO                                                            |   1|      0.0|           5|
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |WEBAZ                                                            |   1|      0.0|           3|
|SAPS4D     |MARC      |implicit                                                                               |          |INVERTED VALUE       |WERKS                                                            |   1|     0.38|          45|
|SAPS4D     |MATDOC    |MATDOC~MAT                                                                             |          |INVERTED VALUE       |MATBF                                                            |   1|    39.92|       31369|
|SAPS4D     |MATDOC    |MATDOC~MBL                                                                             |          |INVERTED VALUE       |MBLNR                                                            |   1|    93.22|     7208362|
