SNAPSHOT_TIME;HOST;TABLE_NAME;PART_CNT;ROW_NUM;ROW_PCT;TOTAL_GB;MEM_PCT;MAIN_GB;DELTA_GB;DRAM_GB;PMEM_GB;MERGES;LOADED;DISK_GB;PAGE_COUNT
2021/07/12 04:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/12 04:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387972;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/12 05:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/12 05:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387972;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/12 06:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/12 06:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387972;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/12 07:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/12 07:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387972;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/12 08:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/12 08:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387972;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/12 09:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;     54.65;      7076
2021/07/12 09:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387972;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;      7.35;      3061
2021/07/12 10:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/12 10:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387972;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/12 11:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/12 11:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387972;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/12 12:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/12 12:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387972;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/12 13:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/12 13:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387972;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/12 14:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    257.87; 97.79;    257.82;      0.03;    257.87;      0.00;  0;PARTIALLY;;
2021/07/12 14:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444399315;  4.15;      5.81;  2.20;      5.63;      0.17;      5.81;      0.00;  0;PARTIALLY;;
2021/07/12 15:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    259.76; 97.81;    259.71;      0.03;    259.76;      0.00;  0;PARTIALLY;     54.65;      7076
2021/07/12 15:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444419970;  4.15;      5.81;  2.18;      5.63;      0.17;      5.81;      0.00;  0;PARTIALLY;      7.35;      3069
2021/07/12 16:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    225.43; 97.48;    225.37;      0.03;    225.43;      0.00;  0;PARTIALLY;;
2021/07/12 16:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444430007;  4.15;      5.81;  2.51;      5.63;      0.18;      5.81;      0.00;  0;PARTIALLY;;
2021/07/12 17:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    225.43; 97.48;    225.37;      0.03;    225.43;      0.00;  0;PARTIALLY;;
2021/07/12 17:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444430007;  4.15;      5.81;  2.51;      5.63;      0.18;      5.81;      0.00;  0;PARTIALLY;;
2021/07/12 18:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    191.81; 97.05;    191.76;      0.03;    191.81;      0.00;  0;PARTIALLY;;
2021/07/12 18:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444433103;  4.15;      5.81;  2.94;      5.63;      0.18;      5.81;      0.00;  0;PARTIALLY;;
2021/07/12 19:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    131.91; 97.18;    131.86;      0.03;    131.91;      0.00; 72;PARTIALLY;;
2021/07/12 19:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444464785;  4.15;      3.82;  2.81;      3.63;      0.18;      3.82;      0.00;  0;PARTIALLY;;
2021/07/12 20:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    132.03; 97.18;    131.98;      0.03;    132.03;      0.00;  0;PARTIALLY;;
2021/07/12 20:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444464785;  4.15;      3.82;  2.81;      3.63;      0.18;      3.82;      0.00;  0;PARTIALLY;;
